student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
1,Student_1,C,58,74,75,93,42,118
2,Student_2,A,75,56,91,73,59,38
3,Student_3,C,51,58,62,64,99,67
4,Student_4,C,69,73,81,81,98,99
5,Student_5,A,77,50,88,81,75,22
6,Student_6,A,96,93,98,73,58,39
7,Student_7,C,56,57,81,90,65,43
8,Student_8,B,93,73,53,98,42,73
9,Student_9,C,57,60,79,98,58,52
10,Student_10,C,96,66,86,61,59,43
11,Student_11,C,84,57,72,88,71,94
12,Student_12,C,63,84,88,51,46,91
13,Student_13,A,66,84,94,52,91,55
14,Student_14,C,85,82,64,98,80,57
15,Student_15,B,99,54,92,86,72,103
16,Student_16,A,89,91,78,98,79,118
17,Student_17,B,53,88,85,66,78,108
18,Student_18,B,51,90,62,98,57,118
19,Student_19,B,55,77,81,51,79,44
20,Student_20,B,91,56,56,51,40,112
21,Student_21,A,53,58,71,77,50,37
22,Student_22,A,78,57,77,72,67,101
23,Student_23,B,67,61,51,86,96,85
24,Student_24,B,75,83,91,81,64,73
25,Student_25,A,93,82,94,82,89,54
26,Student_26,A,83,97,55,50,62,99
27,Student_27,A,59,72,77,68,70,80
28,Student_28,C,85,73,77,51,69,60
29,Student_29,C,63,86,93,93,81,119
30,Student_30,C,80,84,93,75,74,52
31,Student_31,B,97,93,69,81,46,87
32,Student_32,C,64,89,79,55,99,52
33,Student_33,B,57,71,60,81,55,33
34,Student_34,B,63,76,77,53,65,40
35,Student_35,C,72,84,74,60,87,67
36,Student_36,B,89,50,88,66,96,39
37,Student_37,C,70,84,82,87,91,27
38,Student_38,C,65,86,50,73,99,26
39,Student_39,A,94,96,76,54,88,86
40,Student_40,C,67,63,62,83,41,36
41,Student_41,A,96,52,90,55,40,52
42,Student_42,C,73,50,52,71,87,67
43,Student_43,C,75,54,88,60,51,95
44,Student_44,A,74,75,55,97,44,78
45,Student_45,A,94,63,57,65,76,105
46,Student_46,C,90,88,76,82,71,41
47,Student_47,B,78,76,58,58,98,49
48,Student_48,A,64,58,86,55,94,57
49,Student_49,B,94,64,82,65,48,70
50,Student_50,B,50,64,91,78,80,73
